"","GRS","p(GRS)","A|ai|","A|ai|/A|ri|","A(ai^2)/A(ri^2)","A(s^2(ai)/A(ri^2)","A(R^2)"
"size.beta.Mkt",2.24216424911718,0.000557589507824627,0.00628089000703645,0.0266152254095731,0.000529179941353337,335.967430362096,0.744611667974139
"size.beta.Mkt.SMB.HML",1.59384772933206,0.0343432412161543,0.0685015041195211,0.290274622066832,0.124738362516206,0.628127047069391,0.879887358370828
"size.beta.Mkt.SMB.HML.RMW",1.76078128400483,0.0130615822421214,0.112137061627614,0.475179977462197,0.291647107430313,0.261501642610974,0.886297788494646
"size.beta.Mkt.SMB.HML.CMA",1.47010105210451,0.0665767605055655,0.112816512624144,0.478059146084345,0.296102182427921,0.268128053984361,0.880921014651879
"size.beta.Mkt.SMB.RMW.CMA",1.7255962265156,0.0161177271524265,0.132850555825374,0.562953257439345,0.405196853081945,0.201280855153389,0.880926858832511
"size.beta.Mkt.SMB.HML.RMW.CMA",1.74714711540562,0.014179933134349,0.138861956929694,0.588426525597134,0.395356414376863,0.196664552800196,0.888170578900444
"size.NI.Mkt.SMB.HML",4.15176108056709,2.18511101405484e-13,0.0302212932323072,0.113332653464711,0.0103764053813503,7.21063599395105,0.866381463538478
"size.NI.Mkt.SMB.HML.RMW",3.54978681816517,1.4585198402442e-10,0.028890075342296,0.108340462870651,0.00948388023592649,7.66735833361876,0.873046322832943
"size.NI.Mkt.SMB.HML.CMA",3.87357784881334,4.49499312908421e-12,0.0536459599798047,0.201177327040178,0.049938369574734,1.50490165332306,0.868704743332497
"size.NI.Mkt.SMB.RMW.CMA",3.11122670673496,1.48913208529994e-08,0.0532292940017552,0.199614790965436,0.0497029236403481,1.50831630290678,0.873584596349734
"size.NI.Mkt.SMB.HML.RMW.CMA",3.11254067578385,1.47384227004202e-08,0.0478960523182963,0.179614639849836,0.0413119566197182,1.76787836966341,0.876774745297398
"size.var.Mkt.SMB.HML",6.11955427342819,1.02168651246576e-17,0.0828857293384192,0.275870542096171,0.0777872865774973,0.704217045687181,0.864056237882625
"size.var.Mkt.SMB.HML.RMW",5.26993035801831,1.3754143362657e-14,0.070511847026046,0.234686255626167,0.060445933888043,0.809777669565725,0.88210102552595
"size.var.Mkt.SMB.HML.CMA",6.09326952093547,1.2872789320268e-17,0.136454576035952,0.45416500720942,0.2251015686264,0.246500374455486,0.864841457236234
"size.var.Mkt.SMB.RMW.CMA",5.04640852545271,9.1248503898381e-14,0.103411361610168,0.344186491619335,0.175441863759299,0.300996118762141,0.874419165889969
"size.var.Mkt.SMB.HML.RMW.CMA",5.04321084938754,9.42954618001211e-14,0.115841700846547,0.385558685010767,0.181765630065056,0.271055256218163,0.884711729504756
"size.Rvar.Mkt.SMB.HML",7.25814474242879,7.0094243951858e-22,0.105256029288692,0.335580451462536,0.100343501491294,0.475707781624784,0.876331563031518
"size.Rvar.Mkt.SMB.HML.RMW",6.37690709627183,1.17087003750689e-18,0.107354906130003,0.34227215399712,0.0980608048932269,0.431870047634095,0.893345902607905
"size.Rvar.Mkt.SMB.HML.CMA",7.16689775902034,1.52292133439102e-21,0.155508901593147,0.49579817665303,0.240852407975281,0.201100582962612,0.876871243039655
"size.Rvar.Mkt.SMB.RMW.CMA",5.89272729297101,7.02854123291222e-17,0.139905693813978,0.44605155837204,0.208930342194821,0.21996338762984,0.885182960893223
"size.Rvar.Mkt.SMB.HML.RMW.CMA",5.92222912856383,5.5198075371679e-17,0.147137428605305,0.469107993642598,0.21092446940003,0.202688988532113,0.895424727124664
"size.AC.Mkt.SMB.HML",3.59064557920114,1.73338386468826e-08,0.139910047354256,0.605326080251941,0.504070967141924,0.14553525660245,0.904747896092424
"size.AC.Mkt.SMB.HML.RMW",4.30675817817174,4.63465415450258e-11,0.226197264186717,0.978650968126433,1.22583528184637,0.0590917024089937,0.908139221533622
"size.AC.Mkt.SMB.HML.CMA",3.19144443535553,4.33908743350998e-07,0.158948670464702,0.687697398958307,0.546267262047874,0.135040235542004,0.90606007812188
"size.AC.Mkt.SMB.RMW.CMA",3.51975791372653,3.09498576979941e-08,0.201502326357002,0.871807391119583,1.03686952262283,0.07189362932056,0.908356950715301
"size.AC.Mkt.SMB.HML.RMW.CMA",3.59518425486513,1.67917118846887e-08,0.224170719308582,0.969883045516628,1.11523945483024,0.0664810343936729,0.90898242136101
"size.prior.Mkt.SMB.HML",4.7444035353943,1.16458475468909e-12,0.145666473473566,0.444427837557977,0.241574377129931,0.268472737997732,0.842750702952542
"size.prior.Mkt.SMB.HML.RMW",4.47990246638965,1.08505031579815e-11,0.157445745830474,0.480366351182646,0.241638664229477,0.267698519668373,0.848593910137327
"size.prior.Mkt.SMB.HML.CMA",4.37673267901223,2.57903889290984e-11,0.172936926280312,0.527629881797267,0.286749551587201,0.228491081344063,0.843941948100255
"size.prior.Mkt.SMB.RMW.CMA",4.07780053669498,3.13208370435928e-10,0.140158860989528,0.427624133534537,0.176550625463907,0.396940896803916,0.840160753032986
"size.prior.Mkt.SMB.HML.RMW.CMA",4.11417615314603,2.32237202756243e-10,0.176906253604489,0.539740283849144,0.277765946375384,0.236471507662658,0.850542759734827
"size.prior.Mkt.SMB.HML.MOM",3.57575938762548,1.96218703919548e-08,0.116508055591638,0.355465619301016,0.182551951331021,0.19123314666353,0.909674162847562
"size.prior.Mkt.SMB.HML.RMW.MOM",3.56500837665155,2.14734482046232e-08,0.13176315705355,0.402008873852144,0.19440786617044,0.17383773813255,0.915414067817645
"size.prior.Mkt.SMB.HML.CMA.MOM",3.40551141115945,7.82481840707345e-08,0.14415610141342,0.43981969834384,0.230496576056619,0.152924378680753,0.909975310936751
"size.prior.Mkt.SMB.RMW.CMA.MOM",3.45920056521343,5.0701598014428e-08,0.117933649180793,0.359815099733656,0.142337435157984,0.248874263296424,0.912555571644598
"size.prior.Mkt.SMB.HML.RMW.CMA.MOM",3.47384577919174,4.51401241477875e-08,0.15226067832805,0.464546730629309,0.232385734301868,0.147358589141168,0.916195405742443
