"","low","2","3","4","high","low","2","3","4","high"
"","PanelA:Three-factor: Rit每RFt = ai + bi(RMt 每 RFt) + siSMBt + hiHMLi + eit ","","","","","","","","",""
"","","","a","","","","","t(a)","",""
"","0.2","0","0.02","0.08","0.18","3.34","-0.05","0.28","1.1","2.47"
"","-0.15","-0.57","0.12","0.05","0.08","-1.9","-6","2.02","0.44","1.17"
"","0.1","0.06","0.04","-0.44","0.24","1.45","0.82","0.62","-5.62","3.57"
"","0.04","0.06","0.19","0.13","0.02","0.32","0.74","2.66","1.78","0.27"
"","-0.37","0.25","0.02","-0.04","0.01","-4.43","3.55","0.13","-0.52","0.18"
"","Panel B: Five-factor: Rit 每 RFt = ai + bi(RMt 每 RFt) + siSMBt + hiHMLOt + riRMWt + ciCMAt + eit","","","","","","","","",""
"","","","a","","","","","t(a)","",""
"small","0.22","0.19","0.07","-0.07","-0.84","3.42","2.73","0.92","-0.66","-5.65"
"2","0.11","0.04","0.03","-0.06","-0.45","1.78","0.65","0.42","-0.81","-4.75"
"3","0.01","0.03","-0.03","-0.03","-0.21","0.12","0.44","-0.48","-0.34","-2.28"
"4","0","-0.06","-0.12","-0.07","-0.03","-0.03","-0.84","-1.68","-0.85","-0.28"
"big","0.01","-0.03","-0.11","-0.04","0.17","0.14","-0.63","-1.89","-0.72","1.87"
"","","","b","","","","","t(b)","",""
"small","0.71","0.97","1.09","1.14","1.1","45.19","57.78","57.4","46.2","30.37"
"2","0.77","1","1.11","1.24","1.25","51.34","66.48","66.04","68.11","54.47"
"3","0.77","0.98","1.09","1.19","1.24","48.83","63.12","67.2","64.24","56.28"
"4","0.81","0.99","1.13","1.19","1.25","44.94","59.56","66.84","62.59","53.65"
"big","0.82","0.96","1.04","1.1","1.16","56.91","74.47","76.64","72.34","53.48"
"","","","s","","","","","t(s)","",""
"small","0.67","0.92","1.03","1.19","1.35","30.59","39.13","38.87","34.75","26.82"
"2","0.55","0.76","0.83","0.93","1.1","26.14","36.1","35.63","36.81","34.57"
"3","0.3","0.47","0.57","0.69","0.81","13.42","21.83","25.21","26.56","26.32"
"4","0.11","0.19","0.23","0.33","0.51","4.19","8.05","9.96","12.3","15.63"
"big","-0.28","-0.25","-0.16","-0.12","0.02","-13.91","-13.77","-8.5","-5.69","0.56"
"","","","h","","","","","t(h)","",""
"small","0.38","0.36","0.36","0.28","0.24","12.42","10.94","9.66","5.93","3.41"
"2","0.32","0.35","0.28","0.2","-0.06","10.94","11.89","8.74","5.64","-1.3"
"3","0.32","0.36","0.29","0.2","-0.16","10.4","11.87","9.26","5.53","-3.72"
"4","0.32","0.28","0.23","0.13","-0.17","9.04","8.7","6.88","3.5","-3.8"
"big","0.13","-0.05","0.07","0.07","-0.18","4.62","-1.82","2.47","2.22","-4.22"
"","","","r","","","","","t(r)","",""
"small","0.29","0.36","0.19","-0.13","-0.83","9.54","10.95","5.07","-2.73","-11.92"
"2","0.34","0.43","0.42","0.33","-0.52","11.61","14.93","13.03","9.45","-11.82"
"3","0.31","0.42","0.44","0.36","-0.46","10.13","13.94","13.9","9.97","-10.75"
"4","0.33","0.42","0.39","0.28","-0.53","9.34","12.99","11.93","7.52","-11.81"
"big","0.18","0.27","0.25","0","-0.44","6.55","10.87","9.68","0.02","-10.36"
"","","","c","","","","","t(c)","",""
"small","0.1","0.09","-0.03","-0.23","-0.48","2.25","1.79","-0.63","-3.29","-4.6"
"2","0.16","0.15","0.09","-0.04","-0.42","3.82","3.52","1.87","-0.84","-6.45"
"3","0.2","0.07","0.1","-0.01","-0.36","4.38","1.47","2.14","-0.14","-5.64"
"4","0.23","0.16","0.14","0.07","-0.31","4.37","3.32","2.82","1.3","-4.59"
"big","0.07","0.23","0.11","-0.06","-0.38","1.63","6.2","2.91","-1.41","-6.09"
