"","small","2","3","4","big","small","2","3","4","big"
"","PanelA:Three-factor: Rit每RFt = ai + bi(RMt 每 RFt) + siSMBt + hiHMLi + eit ","","","","","","","","",""
"","","","a","","","","","t(a)","",""
"low","0.2","-0.03","0.03","0.07","0.15","3.56","-0.33","0.49","0.99","2.15"
"2","-0.13","-0.56","0.12","0.08","0.06","-1.84","-6.17","2.14","0.66","0.94"
"3","0.06","0.03","0.08","-0.41","0.24","0.85","0.42","1.26","-5.34","3.79"
"4","0.02","0.03","0.17","0.1","0.01","0.14","0.45","2.56","1.43","0.16"
"high","-0.36","0.26","0.07","-0.01","0","-4.5","3.96","0.59","-0.12","0.03"
"","Panel B: Five-factor: Rit 每 RFt = ai + bi(RMt 每 RFt) + siSMBt + hiHMLOt + riRMWt + ciCMAt + eit","","","","","","","","",""
"","","","a","","","","","t(a)","",""
"small","0.26","0.19","0.03","-0.1","-0.85","4.36","2.96","0.36","-1.08","-5.85"
"2","0.14","0.07","0.03","-0.08","-0.47","2.39","1.23","0.52","-1.16","-5.21"
"3","0.02","0.04","-0.04","-0.06","-0.27","0.33","0.69","-0.62","-0.83","-3.05"
"4","0.04","-0.02","-0.08","-0.06","-0.11","0.54","-0.26","-1.26","-0.79","-1.2"
"big","0.02","-0.03","-0.1","-0.06","0.12","0.39","-0.6","-1.92","-0.96","1.37"
"","","","b","","","","","t(b)","",""
"small","0.71","0.97","1.09","1.14","1.13","47.12","59.87","58.9","47.68","31.48"
"2","0.77","1","1.11","1.24","1.26","52.86","69.43","69.78","69.43","56.5"
"3","0.79","0.99","1.09","1.19","1.25","50.42","65.44","70.12","66.99","57.82"
"4","0.82","0.99","1.12","1.19","1.26","46.71","61.95","69.2","66.62","55.1"
"big","0.83","0.96","1.05","1.1","1.17","60.41","77.23","78.83","76.71","55.66"
"","","","s","","","","","t(s)","",""
"small","0.68","0.93","1.04","1.19","1.36","32.38","41.19","40.5","35.74","27.07"
"2","0.56","0.76","0.84","0.94","1.11","27.54","37.7","37.85","37.68","35.64"
"3","0.31","0.47","0.57","0.69","0.82","14.41","22.5","26.22","28.04","27.31"
"4","0.1","0.18","0.23","0.32","0.51","4.16","7.94","10.03","12.8","15.86"
"big","-0.28","-0.24","-0.16","-0.12","0.02","-14.7","-13.95","-8.75","-6.1","0.6"
"","","","h","","","","","t(h)","",""
"small","0.4","0.35","0.34","0.27","0.21","13.83","11.34","9.7","5.8","3.05"
"2","0.35","0.34","0.26","0.18","-0.07","12.33","12.19","8.53","5.15","-1.71"
"3","0.34","0.35","0.28","0.17","-0.15","11.15","12","9.22","5.12","-3.72"
"4","0.31","0.26","0.22","0.12","-0.18","9.01","8.39","6.92","3.52","-4"
"big","0.12","-0.03","0.05","0.06","-0.17","4.4","-1.38","2.02","2.27","-4.27"
"","","","r","","","","","t(r)","",""
"small","0.27","0.35","0.18","-0.14","-0.83","9.34","11.02","4.93","-2.95","-11.81"
"2","0.32","0.42","0.41","0.31","-0.52","11.26","14.97","13.32","8.97","-11.94"
"3","0.31","0.42","0.44","0.36","-0.45","10.2","14.09","14.29","10.29","-10.66"
"4","0.32","0.41","0.37","0.27","-0.51","9.22","12.93","11.8","7.66","-11.32"
"big","0.19","0.27","0.25","0","-0.42","6.94","10.91","9.72","0.03","-10.28"
"","","","c","","","","","t(c)","",""
"small","0.07","0.08","-0.03","-0.21","-0.4","1.54","1.82","-0.47","-3.1","-3.87"
"2","0.13","0.14","0.11","-0.02","-0.37","3.13","3.28","2.37","-0.49","-5.79"
"3","0.18","0.06","0.1","0.02","-0.31","3.95","1.37","2.2","0.44","-4.97"
"4","0.21","0.16","0.12","0.07","-0.24","4.19","3.39","2.67","1.35","-3.73"
"big","0.08","0.21","0.12","-0.04","-0.34","2.11","5.94","3.1","-0.97","-5.71"
